symbol,value
…,0
‘,1
’,2
‡,3
–,4
•,5
‚,6
”,7
Š,8
Ÿ,9
€,10
‰,11
›,12
€,13
‰,14
˜,15
„,16
™,17
œ,18
Œ,19
‘,20
•,21
Ÿ,22
Œ,23
˜,24
—,25
”,26
ž,27
–,28
Š,29
—,30
˜,31
–,32
‚,33
•,34
˜,35
˜,36
‰,37
™,38
ž,39
•,40
–,41
’,42
’,43
–,44
‡,45
‹,46
—,47
‡,48
•,49
™,50
ƒ,51
—,52
Ž,53
†,54
Ž,55
›,56
˜,57
™,58
’,59
ˆ,60
œ,61
†,62
Ž,63
Š,64
€,65
›,66
™,67
–,68
‰,69
‹,70
‡,71
œ,72
Ÿ,73
‰,74
Ž,75
ž,76
•,77
˜,78
•,79
†,80
Ž,81
„,82
Ž,83
—,84
€,85
™,86
š,87
–,88
“,89
›,90
˜,91
–,92
ž,93
…,94
‡,95
‡,96
•,97
Š,98
Œ,99
‘,100
˜,101
ƒ,102
„,103
“,104
€,105
Œ,106
Ÿ,107
‚,108
‰,109
™,110
ƒ,111
‹,112
‹,113
œ,114
€,115
’,116
ž,117
†,118
‡,119
ž,120
’,121
–,122
—,123
–,124
‰,125
ˆ,126
›,127
—,128
Œ,129
‰,130
ƒ,131
—,132
ˆ,133
™,134
‚,135
€,136
™,137
ƒ,138
–,139
ˆ,140
Œ,141
˜,142
‚,143
„,144
‹,145
‚,146
œ,147
Ÿ,148
–,149
™,150
–,151
„,152
ˆ,153
Ÿ,154
–,155
œ,156
€,157
”,158
ˆ,159
š,160
…,161
™,162
“,163
Š,164
†,165
—,166
Ž,167
”,168
š,169
ž,170
ž,171
ˆ,172
ƒ,173
‡,174
œ,175
‡,176
•,177
—,178
˜,179
š,180
ž,181
‰,182
’,183
‚,184
’,185
‹,186
ƒ,187
Ÿ,188
Œ,189
‰,190
„,191
™,192
ˆ,193
…,194
‚,195
Ÿ,196
”,197
’,198
€,199
Ž,200
œ,201
€,202
˜,203
…,204
€,205
‚,206
‰,207
€,208
’,209
—,210
Š,211
‡,212
Œ,213
Œ,214
™,215
…,216
‚,217
‚,218
•,219
—,220
–,221
ž,222
š,223
™,224
…,225
‹,226
—,227
ˆ,228
†,229
œ,230
‚,231
ƒ,232
‹,233
—,234
’,235
™,236
–,237
‹,238
‘,239
’,240
™,241
ž,242
—,243
ˆ,244
€,245
Š,246
‹,247
ž,248
”,249
—,250
‚,251
œ,252
‰,253
†,254
…,255
„,256
…,257
ˆ,258
’,259
Ž,260
’,261
•,262
‚,263
‰,264
…,265
‰,266
š,267
‡,268
Ž,269
—,270
‹,271
Ÿ,272
ž,273
•,274
‰,275
ž,276
‰,277
—,278
‘,279
”,280
•,281
‚,282
œ,283
š,284
Œ,285
Ž,286
“,287
‡,288
“,289
‰,290
—,291
—,292
”,293
ˆ,294
‡,295
‡,296
‡,297
ž,298
‚,299
“,300
ƒ,301
Ž,302
†,303
‚,304
Ÿ,305
œ,306
“,307
™,308
–,309
ˆ,310
•,311
“,312
ž,313
œ,314
Š,315
Œ,316
ž,317
‹,318
Ÿ,319
„,320
’,321
Ÿ,322
…,323
†,324
•,325
Š,326
…,327
ž,328
œ,329
Ÿ,330
˜,331
Ž,332
Ž,333
—,334
—,335
–,336
’,337
‹,338
‡,339
ž,340
‰,341
œ,342
Ž,343
—,344
•,345
˜,346
€,347
“,348
Ž,349
”,350
‚,351
“,352
”,353
’,354
’,355
‡,356
‡,357
‰,358
‚,359
“,360
–,361
”,362
•,363
‰,364
†,365
‡,366
Ž,367
”,368
™,369
Ž,370
–,371
…,372
™,373
š,374
‡,375
‡,376
Œ,377
’,378
€,379
„,380
Ÿ,381
œ,382
›,383
˜,384
—,385
‘,386
‡,387
—,388
”,389
ž,390
€,391
•,392
Ÿ,393
œ,394
•,395
•,396
›,397
Š,398
”,399
”,400
†,401
™,402
˜,403
›,404
”,405
€,406
‹,407
œ,408
Œ,409
‡,410
”,411
•,412
Œ,413
›,414
ˆ,415
‚,416
š,417
‘,418
•,419
€,420
ƒ,421
™,422
‡,423
™,424
˜,425
˜,426
•,427
‹,428
Ÿ,429
ž,430
†,431
…,432
•,433
š,434
Ž,435
š,436
€,437
—,438
…,439
€,440
…,441
Ÿ,442
„,443
ƒ,444
”,445
‹,446
Œ,447
‰,448
Š,449
†,450
Ÿ,451
ˆ,452
Œ,453
‡,454
‚,455
”,456
ƒ,457
œ,458
–,459
Œ,460
ƒ,461
Œ,462
ˆ,463
€,464
‚,465
“,466
˜,467
š,468
…,469
‚,470
‡,471
ƒ,472
‰,473
•,474
†,475
’,476
†,477
‡,478
Š,479
Ÿ,480
‰,481
‡,482
Ž,483
ž,484
œ,485
ˆ,486
‡,487
‡,488
—,489
‡,490
œ,491
“,492
€,493
Ÿ,494
Š,495
‡,496
…,497
•,498
ˆ,499
