symbol,value
”,0
€,1
ˆ,2
‘,3
—,4
‹,5
—,6
œ,7
”,8
‰,9
ˆ,10
‚,11
–,12
›,13
…,14
„,15
˜,16
–,17
‡,18
‰,19
…,20
“,21
ˆ,22
—,23
‹,24
›,25
—,26
”,27
“,28
…,29
’,30
Œ,31
„,32
Ÿ,33
—,34
…,35
œ,36
ƒ,37
˜,38
‰,39
‡,40
‡,41
‡,42
„,43
Ÿ,44
Œ,45
˜,46
–,47
Œ,48
”,49
‘,50
™,51
Œ,52
‘,53
€,54
™,55
•,56
…,57
˜,58
™,59
€,60
Œ,61
“,62
™,63
”,64
—,65
’,66
ž,67
“,68
š,69
’,70
Ž,71
–,72
—,73
‚,74
›,75
œ,76
š,77
—,78
‰,79
Š,80
ž,81
œ,82
•,83
ž,84
…,85
Š,86
’,87
—,88
Ž,89
—,90
‘,91
—,92
•,93
Ž,94
›,95
„,96
„,97
•,98
„,99
ˆ,100
‹,101
˜,102
’,103
‹,104
ž,105
•,106
™,107
”,108
™,109
–,110
…,111
‘,112
Ž,113
‰,114
•,115
š,116
Œ,117
—,118
†,119
œ,120
…,121
€,122
“,123
—,124
‚,125
š,126
‹,127
…,128
ˆ,129
Ÿ,130
‚,131
œ,132
Œ,133
ž,134
Œ,135
Š,136
—,137
Š,138
˜,139
‡,140
›,141
‹,142
‰,143
€,144
›,145
Ž,146
—,147
’,148
—,149
’,150
Œ,151
„,152
Ÿ,153
’,154
…,155
‹,156
˜,157
œ,158
œ,159
’,160
˜,161
‘,162
ž,163
›,164
Ÿ,165
œ,166
Š,167
ˆ,168
‚,169
ˆ,170
”,171
„,172
™,173
‡,174
™,175
™,176
€,177
–,178
‹,179
ˆ,180
š,181
š,182
Œ,183
‚,184
…,185
›,186
˜,187
Š,188
‚,189
€,190
Œ,191
™,192
…,193
ž,194
„,195
‡,196
ž,197
ž,198
œ,199
‰,200
›,201
Š,202
‚,203
˜,204
“,205
™,206
›,207
Ž,208
’,209
›,210
“,211
™,212
‰,213
›,214
–,215
Ÿ,216
„,217
†,218
‹,219
—,220
ž,221
‹,222
Œ,223
Œ,224
œ,225
ž,226
’,227
†,228
ž,229
…,230
œ,231
”,232
‰,233
‹,234
•,235
ƒ,236
…,237
•,238
ž,239
”,240
›,241
€,242
Œ,243
–,244
Š,245
Œ,246
—,247
“,248
‹,249
ž,250
š,251
•,252
”,253
€,254
Œ,255
„,256
“,257
Ž,258
‘,259
‘,260
’,261
’,262
†,263
‘,264
‚,265
”,266
š,267
œ,268
œ,269
Ÿ,270
‘,271
„,272
‰,273
Ÿ,274
™,275
‘,276
„,277
‰,278
’,279
ˆ,280
‘,281
ƒ,282
‚,283
–,284
…,285
ž,286
Ž,287
ž,288
—,289
Š,290
˜,291
€,292
™,293
˜,294
Œ,295
Ÿ,296
‘,297
‰,298
œ,299
›,300
ˆ,301
‘,302
Ÿ,303
ƒ,304
™,305
‘,306
€,307
”,308
’,309
‡,310
‘,311
…,312
‰,313
ƒ,314
š,315
Œ,316
‘,317
’,318
Ž,319
‘,320
ž,321
€,322
–,323
ˆ,324
Œ,325
‚,326
€,327
’,328
œ,329
ˆ,330
‘,331
‰,332
™,333
ž,334
‘,335
“,336
‚,337
”,338
›,339
™,340
†,341
›,342
‰,343
™,344
Ž,345
Ÿ,346
’,347
Ÿ,348
’,349
Ž,350
Œ,351
…,352
ˆ,353
Œ,354
…,355
ˆ,356
Ÿ,357
ž,358
ˆ,359
š,360
“,361
ž,362
ƒ,363
†,364
‘,365
™,366
™,367
†,368
‰,369
›,370
‚,371
Ž,372
–,373
“,374
Œ,375
•,376
–,377
’,378
Ž,379
…,380
†,381
‘,382
„,383
š,384
Ÿ,385
Ÿ,386
‰,387
†,388
–,389
‹,390
œ,391
‡,392
ˆ,393
…,394
’,395
Œ,396
—,397
›,398
’,399
Š,400
‹,401
‚,402
†,403
‰,404
Ž,405
€,406
’,407
š,408
ˆ,409
„,410
›,411
‚,412
ˆ,413
›,414
™,415
…,416
š,417
ˆ,418
–,419
‡,420
…,421
“,422
„,423
“,424
‹,425
—,426
˜,427
”,428
€,429
Ÿ,430
…,431
†,432
ˆ,433
”,434
‡,435
ˆ,436
–,437
›,438
™,439
–,440
‡,441
Š,442
—,443
‚,444
Œ,445
‘,446
™,447
œ,448
„,449
Ž,450
›,451
…,452
›,453
ž,454
‹,455
œ,456
‘,457
’,458
‚,459
—,460
„,461
Œ,462
Œ,463
ˆ,464
ƒ,465
ˆ,466
•,467
”,468
‘,469
€,470
–,471
†,472
“,473
™,474
—,475
€,476
Š,477
‚,478
†,479
“,480
Ÿ,481
…,482
š,483
—,484
Ÿ,485
•,486
•,487
•,488
›,489
ˆ,490
ž,491
ž,492
‘,493
ž,494
„,495
‰,496
…,497
‚,498
“,499
